budget_nodes,correct,cpu_s,delta_rss_bytes,energy_uj,from_cache,job,metadata,mode,notes,order_len,peak_rss_bytes,peak_vram_bytes,pre_rss_bytes,recompute_factor,repeat,scenario,unique_nodes,wall_s
,True,0.02079837699999998,0,NA,False,tiny/baseline/repeat_0,{'method': 'NA'},baseline,,,99000320,0,99000320,,0,tiny,,0.030688207000025614
,True,0.01564184600000007,0,NA,False,tiny/baseline/repeat_1,{'method': 'NA'},baseline,,,99131392,0,99131392,,1,tiny,,0.0255931279999686
,True,0.018352057000000088,0,NA,False,tiny/baseline/repeat_2,{'method': 'NA'},baseline,,,99131392,0,99131392,,2,tiny,,0.028135175999977946
,True,0.01785835399999991,0,NA,False,tiny/baseline/repeat_3,{'method': 'NA'},baseline,,,99131392,0,99131392,,3,tiny,,0.027782908000006046
,True,0.015630990999999983,0,NA,False,tiny/baseline/repeat_4,{'method': 'NA'},baseline,,,99131392,0,99131392,,4,tiny,,0.025581703999989713
,True,0.01643156999999995,0,NA,False,tiny/baseline/repeat_5,{'method': 'NA'},baseline,,,99131392,0,99131392,,5,tiny,,0.026339742999994087
,True,0.01642192600000003,0,NA,False,tiny/baseline/repeat_6,{'method': 'NA'},baseline,,,99131392,0,99131392,,6,tiny,,0.026354801000024963
,True,0.016536147000000057,0,NA,False,tiny/baseline/repeat_7,{'method': 'NA'},baseline,,,99131392,0,99131392,,7,tiny,,0.02632703000000447
,True,0.015083130999999916,0,NA,False,tiny/baseline/repeat_8,{'method': 'NA'},baseline,,,99131392,0,99131392,,8,tiny,,0.024999438999998347
,True,0.014594278000000016,0,NA,False,tiny/baseline/repeat_9,{'method': 'NA'},baseline,,,99131392,0,99131392,,9,tiny,,0.02453719599998294
2,True,0.01884418199999993,0,NA,True,tiny/sqrt-2/repeat_0,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,0,tiny,7,0.028637564999996812
2,True,0.016846464000000005,0,NA,True,tiny/sqrt-2/repeat_1,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,1,tiny,7,0.02663460300004772
2,True,0.018820078999999934,0,NA,True,tiny/sqrt-2/repeat_2,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,2,tiny,7,0.028599893999967207
2,True,0.01896871900000008,0,NA,True,tiny/sqrt-2/repeat_3,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,3,tiny,7,0.028778669000018908
2,True,0.01665006999999996,0,NA,True,tiny/sqrt-2/repeat_4,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,4,tiny,7,0.02635089299997162
2,True,0.01662982099999999,0,NA,True,tiny/sqrt-2/repeat_5,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,5,tiny,7,0.026444939000043632
2,True,0.017386023000000028,0,NA,True,tiny/sqrt-2/repeat_6,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,6,tiny,7,0.027169584000034774
2,True,0.016141098999999937,0,NA,True,tiny/sqrt-2/repeat_7,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,7,tiny,7,0.025822776999973485
2,True,0.01583751999999994,0,NA,True,tiny/sqrt-2/repeat_8,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,8,tiny,7,0.025655486000005112
2,True,0.020560520999999943,0,NA,True,tiny/sqrt-2/repeat_9,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,9,tiny,7,0.030364602000020113
3,True,0.018710333000000023,0,NA,True,tiny/sqrt-3/repeat_0,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,0,tiny,7,0.028409538999994766
3,True,0.016378146000000093,0,NA,True,tiny/sqrt-3/repeat_1,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,1,tiny,7,0.026077122000003783
3,True,0.01742064599999993,0,NA,True,tiny/sqrt-3/repeat_2,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,2,tiny,7,0.027214377999996486
3,True,0.01491685399999998,0,NA,True,tiny/sqrt-3/repeat_3,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,3,tiny,7,0.024631932999966466
3,True,0.0201567170000001,0,NA,True,tiny/sqrt-3/repeat_4,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,4,tiny,7,0.030018657999960396
3,True,0.015684776000000067,0,NA,True,tiny/sqrt-3/repeat_5,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,5,tiny,7,0.02549043599998413
3,True,0.019645181999999872,0,NA,True,tiny/sqrt-3/repeat_6,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,6,tiny,7,0.029450934999999845
3,True,0.01688256900000007,0,NA,True,tiny/sqrt-3/repeat_7,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,7,tiny,7,0.026657225999997536
3,True,0.017211394999999907,0,NA,True,tiny/sqrt-3/repeat_8,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,8,tiny,7,0.026943740999968213
3,True,0.020014111999999917,0,NA,True,tiny/sqrt-3/repeat_9,{'method': 'NA'},sqrt,,13,99131392,0,99131392,1.8571428571428572,9,tiny,7,0.02995824200002062
,True,0.01620216799999996,0,NA,False,synthetic-200/baseline/repeat_0,{'method': 'NA'},baseline,,,99131392,0,99131392,,0,synthetic-200,,0.02608928800003696
